ID,Carvone,Hexadecanal,Methyl.Hexadecanoate,Ethyl.Hexadecanoate,Octadecenal,Methyl.Octadecenoate,Heneicosane,Ethyl.Octadecenoate,Ethyl.Octadecanoate,Docosane,Tricosene,Tricosane,Decanoic.Acid..Dodecyl.Ester,Tetracosane,Pentacosene,Pentacosane,Methyl.Tetradecanoate,Ethyl.Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,Decanoic.acid..Hexadecyl.Ester,Octacosene,Tetracosyl.Acetate,Nonacosene,Nonacosane,Unknown1..mz.108.79..mw.402,Hexacosyl.Acetate,Triacontene,Hexadecenoic.Acid..Dodecyl.Ester,Octadecenoic.Acid..Decyl.Ester,Hentriacontene,Hentriacontane,Eicosenoic.Acid..Decyl.Ester,Tritriacontene,Tritriacontane,Unknown2..mz434.390..mw..,Octadecenoic.Acid..Hexadecyl.Ester,Unknown3..mz.464.338.265.201.127..mw..,Hexadecenoic.acid..Hexadecyl.Ester,Hexadecenoic.acid..Octadecenyl.Ester,Octadecenoic.Acid..Hexadecenyl.Ester,Octanoic.Acid,Octanoic.Acid..Ethyl.Ester
1,0.293089711,0.32047327,0.016227903,0.015309256,0.098454764,0.273096908,4.88273289,0.257922633,0.028442921,1.172302126,11.62803061,16.09167864,1.630421158,1.66609122,12.77136804,14.07541086,0.008254009,0.014881594,0.03643878,0.083491344,1.013532833,0.826164012,6.857165141,7.64592083,0.62824653,0.038915045,0.240624937,1.252960802,3.202949235,3.630763714,0.82766201,0.806261487,0.088681503,0.216003696,0.242138852,2.067780939,2.087484074,1.822676081,0.235188368,0.132007586,0.023167319,0.224436078,0.040068986,0.266567075,0.022155329,0.131453937,0.064207279,0.000697678
2,0.760270118,0.48294755,0.012469652,0.135705444,0.077763053,0.073747746,1.359206546,1.537376225,0.084062594,0.570982854,8.515701421,10.27484151,3.383549126,2.451314476,9.374221132,10.60673764,0.007645016,0.016779935,0.067584456,0.053762621,1.731087066,1.113509707,5.727833692,7.108858896,0.664815051,0.247027254,0.223824248,3.981385711,3.747437992,5.324715915,0.607929193,3.686128255,0.454748577,0.856468223,0.358475176,3.743076104,4.376052923,3.212617219,0.401463327,0.231688482,0.052877489,0.752114081,0.298118209,0.704205694,0.030681355,0.289812247,0.190541471,0.035837322
6,1.815974249,0.377881692,0.02735421,0.031333288,0.14526834,0.132378533,3.776329174,0.48915979,0.048636801,1.165453527,9.508814418,12.58940865,2.231909841,1.999471707,10.80804686,11.06838998,0.017267607,0.027506007,0.068538757,0.125596874,1.100549336,0.997204644,7.323139312,8.07406032,0.54645399,0.147574092,0.263639838,1.211994673,5.096365931,5.611573204,0.978796048,0.985608948,0.156878486,0.319986481,0.260267442,4.352366761,3.412857129,1.502370781,0.295190916,0.123460779,0.035311951,0.213303183,0.0797164,0.23332195,0.026007631,0.062121228,0.13515824,0
7,1.084930796,0.521429707,0.014412908,0.022208403,0.061088577,0.102301208,3.907321619,1.121214991,0.030407687,2.376415725,6.989561765,8.873425222,3.872284258,4.40184128,6.92828029,8.090806986,0.007506507,0.012400452,0.091575079,0.08550765,2.018688707,1.981249852,4.901019188,5.76895485,0.871696278,0.342390519,0.454028603,5.519840033,4.53972134,5.176785362,0.615837094,5.950861278,0.392545584,0.747147557,0.292258429,4.321341288,4.048241693,1.526398504,0.343888188,0.166002249,0.242149965,0.227341261,0.145110011,0.419348759,0.15870635,0.116652515,0.115751096,0.001122338
11,0.381031591,0.067934883,0.013923632,0.081824445,0.267309668,0.099284915,4.750040622,1.31528388,0.093592859,1.951648569,6.413774958,9.073561886,2.006631961,3.210357401,6.942733707,8.220509007,0.007245299,0.023018118,0.02194961,0.095146674,0.954569645,2.161090197,5.20978525,6.885055437,1.080058915,0.014523947,0.334774589,5.570097257,5.029066065,6.6800872,0.610327319,5.241460312,0.113660753,0.133460404,0.661919353,5.350235256,6.211131115,0.870944137,0.628523929,0.381623382,0.22257982,0.053813771,0.0210038,0.235870722,0.140477195,0.151144662,0.005776146,0.010135738
12,2.392804719,0.429548443,0.02165313,0.035256777,0.077968703,0.122387095,5.454771343,0.930079266,0.041667572,2.402116548,8.569064278,10.07195851,4.202494353,3.385313837,8.327201526,8.502408403,0.011361619,0.020530037,0.070121225,0.339933272,2.073406969,1.925413461,5.869300469,6.538532748,0.794813651,0.202537079,0.529693146,1.824387144,5.121305369,5.593465747,1.205461156,1.224379143,0.252315276,0.722835049,0.393028806,4.423982559,3.524683443,1.237852437,0.269882679,0.109666621,0.029041933,0.107930256,0.081788721,0.326202556,0.03240856,0.117983301,0.05906106,0
16,0.013673224,0.415173568,0.015169296,0.062614844,0.304564768,0.059606357,3.058007609,0.749726445,0.046108057,0.85557878,7.305291682,9.090173107,1.596164946,1.983006936,8.292773611,8.66403932,0.005994261,0.014111716,0.022018356,0.193980684,0.861489227,1.429561259,6.993946785,7.05474067,0.804909067,0.072790832,0.308243689,4.247600359,6.291766003,6.679805218,0.681905572,4.36592076,0.144893264,0.255409956,0.543304491,5.509290138,6.034023916,2.923853196,0.439370193,0.285198997,0.184896406,0.541836264,0.111960099,0.256776521,0.094656031,0.106761235,0.001915382,0.025396905
17,0.402304806,0.049227626,0.016375816,0.019787437,0.046470722,0.072128649,2.277421944,0.413618726,0.040907994,1.16499251,6.819379153,8.382358925,3.242352058,3.560350155,7.40722576,7.981370542,0.007607124,0.01267254,0.02385655,0.120442098,1.707232427,2.360289133,5.941903616,5.971764671,0.969972337,0.040746754,0.588364733,6.857710111,5.98153509,5.418707894,1.242893755,6.798697585,0.185161752,0.106284316,0.421862433,5.646942201,4.688378593,0.919095969,0.64759625,0.240642752,0.697880058,0.034478641,0.030244354,0.20342832,0.153210943,0.064767997,0.018823721,0.000532462
19,0.008343931,2.136975061,0.016572518,0.025779561,0.881076921,0.135330621,3.711168764,1.907950353,0.068440886,1.645580693,6.644915836,7.431395646,3.868518237,2.81113005,6.413731051,6.56964849,0.005914808,0.013999555,0.274769533,0.520651581,2.489635376,1.44289491,5.220743138,4.704406093,0.787341338,0.983957963,0.501763162,1.80045166,5.058541379,4.487215887,0.663447147,1.853473755,1.274662458,2.091463712,0.986696089,4.813122938,4.462974194,4.679944157,0.764201054,0.349749042,0.041398539,2.235955614,0.095968387,1.305126279,0.028447766,0.920457001,0.852965931,0.011100935
22,0.131433968,0.252070625,0.018062,0.019578322,0.353401413,0.107470275,3.037552074,0.594325169,0.047665171,0.653312822,8.035050414,8.831339913,2.219454219,1.400483588,8.782941259,8.331218615,0.008687353,0.015922657,0.031032889,0.357860082,1.660749726,1.404040222,7.485454838,6.827085767,0.84723285,0.3193646,0.650509881,0.45714409,7.521857299,5.941380827,1.661852243,0.640096963,0.510038542,0.589117751,1.75383377,5.999514102,4.736866124,4.578264208,0.368152325,0.142794653,0.007323446,1.108429704,0.303381962,0.395323988,0.007494562,0.191022543,0.656872259,0.005937927
